Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);100*F1/tiempo promedio;F0.5: (1+0.25)*precision*recall/((0.25*precision)+recall);pasoEscala;umbralAgrupamiento;hit_threshold;setSVMDetector;escala_inicial;convertir_a_gris;ecualizar_histograma;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;usar_profundidad_altura;
DH_pe_01;set1_reales;24;32;6;26;9;0.600000;35.509445;1.083333;65.000008;3846.856689;59.182403;0.187500;0.400000;0.075000;0.255319;0.431411;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_pe_02;set1_reales;24;21;5;16;10;0.666667;24.331070;0.666667;44.444450;1622.071533;36.496605;0.238095;0.333333;0.079365;0.277778;0.761106;0.252525;1.100000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_pe_03;set1_reales;24;7;3;4;12;0.800000;21.598389;0.166667;13.333334;359.973175;26.997986;0.428571;0.200000;0.085714;0.272727;1.010176;0.348837;1.150000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_pe_04;set1_reales;24;3;2;1;13;0.866667;19.638264;0.041667;3.611111;81.826096;22.659534;0.666667;0.133333;0.088889;0.222222;0.980701;0.370370;1.200000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_pe_05;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;1.400000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_pe_06;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;2.000000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_pe_07;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;4.000000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_ua_01;set1_reales;24;107;20;87;6;0.230769;14.583570;3.625000;83.653847;5286.544434;63.195472;0.186916;0.769231;0.143781;0.300752;0.475907;0.220264;1.050000;0;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_ua_02;set1_reales;24;38;8;30;7;0.466667;27.543007;1.250000;58.333336;3442.875977;59.020729;0.210526;0.533333;0.112281;0.301887;0.511493;0.239521;1.050000;1;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_ua_03;set1_reales;24;32;6;26;9;0.600000;38.186188;1.083333;65.000008;4136.837402;63.643643;0.187500;0.400000;0.075000;0.255319;0.401170;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_ua_04;set1_reales;24;25;6;19;9;0.600000;35.014488;0.791667;47.500004;2771.980225;58.357476;0.240000;0.400000;0.096000;0.300000;0.514073;0.260870;1.050000;3;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_ua_05;set1_reales;24;14;5;9;10;0.666667;39.757500;0.375000;25.000002;1490.906372;59.636249;0.357143;0.333333;0.119048;0.344828;0.578218;0.352113;1.050000;4;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_ua_06;set1_reales;24;7;4;3;11;0.733333;42.476677;0.125000;9.166667;530.958496;57.922743;0.571429;0.266667;0.152381;0.363636;0.627796;0.465116;1.050000;5;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_ua_07;set1_reales;24;5;3;2;12;0.800000;47.109459;0.083333;6.666667;392.578827;58.886821;0.600000;0.200000;0.120000;0.300000;0.509452;0.428571;1.050000;6;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_ua_08;set1_reales;24;5;3;2;12;0.800000;47.557762;0.083333;6.666667;396.314697;59.447200;0.600000;0.200000;0.120000;0.300000;0.504650;0.428571;1.050000;7;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_ua_09;set1_reales;24;4;3;1;12;0.800000;48.918659;0.041667;3.333333;203.827759;61.148325;0.750000;0.200000;0.150000;0.315789;0.516432;0.483871;1.050000;8;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_ht_01;set1_reales;24;32;6;26;9;0.600000;38.134560;1.083333;65.000008;4131.244141;63.557597;0.187500;0.400000;0.075000;0.255319;0.401713;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_ht_02;set1_reales;24;31;6;25;9;0.600000;35.315338;1.041667;62.500000;3678.681152;58.858897;0.193548;0.400000;0.077419;0.260870;0.443212;0.215827;1.050000;2;0.100000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_ht_03;set1_reales;24;28;5;23;10;0.666667;42.345726;0.958333;63.888893;4058.132324;63.518590;0.178571;0.333333;0.059524;0.232558;0.366126;0.196850;1.050000;2;0.200000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_ht_04;set1_reales;24;26;5;21;10;0.666667;38.034546;0.875000;58.333336;3328.022705;57.051815;0.192308;0.333333;0.064103;0.243902;0.427510;0.210084;1.050000;2;0.300000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_ht_05;set1_reales;24;26;5;21;10;0.666667;40.213989;0.875000;58.333336;3518.724121;60.320984;0.192308;0.333333;0.064103;0.243902;0.404341;0.210084;1.050000;2;0.400000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_ht_06;set1_reales;24;23;5;18;10;0.666667;39.003765;0.750000;50.000004;2925.282471;58.505643;0.217391;0.333333;0.072464;0.263158;0.449799;0.233645;1.050000;2;0.500000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_ht_07;set1_reales;24;7;4;3;11;0.733333;44.143997;0.125000;9.166667;551.799927;60.196357;0.571429;0.266667;0.152381;0.363636;0.604084;0.465116;1.050000;2;1.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_ht_08;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;1.050000;2;2.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_ht_09;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;1.050000;2;4.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_sd_01;set1_reales;24;32;6;26;9;0.600000;37.705589;1.083333;65.000008;4084.772217;62.842644;0.187500;0.400000;0.075000;0.255319;0.406283;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_sd_02;set1_reales;24;201;12;189;3;0.200000;10.634585;7.875000;157.500000;8374.736328;53.172927;0.059701;0.800000;0.047761;0.111111;0.208962;0.073260;1.050000;2;0.000000;getDaimlerPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_bl_01;set1_reales;24;32;6;26;9;0.600000;39.036705;1.083333;65.000008;4228.976562;65.061172;0.187500;0.400000;0.075000;0.255319;0.392429;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_bl_02;set1_reales;24;29;5;24;10;0.666667;38.938454;1.000000;66.666672;3893.845703;58.407680;0.172414;0.333333;0.057471;0.227273;0.389114;0.190840;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;3;false;false;false;false;false;
DH_bl_03;set1_reales;24;28;6;22;9;0.600000;37.002617;0.916667;55.000004;3391.906494;61.671025;0.214286;0.400000;0.085714;0.279070;0.452514;0.236220;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;5;false;false;false;false;false;
DH_bl_04;set1_reales;24;26;5;21;10;0.666667;39.944077;0.875000;58.333336;3495.106689;59.916112;0.192308;0.333333;0.064103;0.243902;0.407073;0.210084;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;7;false;false;false;false;false;
DH_bl_05;set1_reales;24;24;5;19;10;0.666667;40.345631;0.791667;52.777782;3194.029053;60.518442;0.208333;0.333333;0.069444;0.256410;0.423689;0.225225;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;9;false;false;false;false;false;
DH_xx_01;set1_reales;24;34;9;25;6;0.400000;30.275240;1.041667;41.666664;3153.670654;75.688101;0.264706;0.600000;0.158824;0.367347;0.485343;0.298013;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;false;false;false;3;false;false;false;false;false;
DH_xx_02;set1_reales;24;35;8;27;7;0.466667;27.873856;1.125000;52.500000;3135.808594;59.729689;0.228571;0.533333;0.121905;0.320000;0.535747;0.258065;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;false;false;3;false;false;false;false;false;
DH_xx_03;set1_reales;24;32;6;26;9;0.600000;37.710823;1.083333;65.000008;4085.339355;62.851368;0.187500;0.400000;0.075000;0.255319;0.406227;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_xx_04;set1_reales;24;7;5;2;10;0.666667;39.424469;0.083333;5.555556;328.537262;59.136700;0.714286;0.333333;0.238095;0.454545;0.768635;0.581395;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;true;
DH_ff_01;set1_reales;24;32;6;26;9;0.600000;39.299061;1.083333;65.000008;4257.398438;65.498432;0.187500;0.400000;0.075000;0.255319;0.389810;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_ff_02;set1_reales;24;26;8;18;7;0.466667;27.469067;0.750000;35.000000;2060.179932;58.862284;0.307692;0.533333;0.164103;0.390244;0.662978;0.336134;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;true;false;false;false;false;
DH_ff_03;set1_reales;24;13;7;6;8;0.533333;32.992748;0.250000;13.333334;824.818726;61.861399;0.538462;0.466667;0.251282;0.500000;0.808258;0.522388;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;true;false;false;false;
DH_ff_04;set1_reales;24;32;6;26;9;0.600000;34.911510;1.083333;65.000008;3782.080566;58.185850;0.187500;0.400000;0.075000;0.255319;0.438799;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;true;false;false;
DH_ff_05;set1_reales;24;7;3;4;12;0.800000;48.561371;0.166667;13.333334;809.356201;60.701714;0.428571;0.200000;0.085714;0.272727;0.449291;0.348837;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;true;false;
DH_ei_01;set1_reales;24;33;6;27;9;0.600000;70.520729;1.125000;67.500008;7933.582520;117.534545;0.181818;0.400000;0.072727;0.250000;0.212703;0.204082;1.050000;2;0.000000;getDefaultPeopleDetector;1.000000;true;true;false;3;false;false;false;false;false;
DH_ei_02;set1_reales;24;35;6;29;9;0.600000;45.995720;1.208333;72.500008;5557.816406;76.659528;0.171429;0.400000;0.068571;0.240000;0.313073;0.193548;1.050000;2;0.000000;getDefaultPeopleDetector;1.200000;true;true;false;3;false;false;false;false;false;
DH_ei_03;set1_reales;24;32;6;26;9;0.600000;35.886116;1.083333;65.000008;3887.662842;59.810190;0.187500;0.400000;0.075000;0.255319;0.426882;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;false;
DH_ei_04;set1_reales;24;26;5;21;10;0.666667;28.185308;0.875000;58.333336;2466.214600;42.277961;0.192308;0.333333;0.064103;0.243902;0.576902;0.210084;1.050000;2;0.000000;getDefaultPeopleDetector;1.500000;true;true;false;3;false;false;false;false;false;
DH_ei_05;set1_reales;24;5;3;2;12;0.800000;18.078289;0.083333;6.666667;150.652405;22.597860;0.600000;0.200000;0.120000;0.300000;1.327559;0.428571;1.050000;2;0.000000;getDefaultPeopleDetector;2.000000;true;true;false;3;false;false;false;false;false;
DH_ei_06;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;1.050000;2;0.000000;getDefaultPeopleDetector;3.000000;true;true;false;3;false;false;false;false;false;
