Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);F1/tiempo promedio;pasoEscala;umbralAgrupamiento;hit_threshold;setSVMDetector;escala_inicial;convertir_a_gris;ecualizar_histograma;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DH_pe_01;set1_reales;24;32;3;29;13;0.812500;64.208878;1.208333;98.177086;7758.573242;79.026312;0.093750;0.187500;0.017578;0.125000;0.001582;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_02;set1_reales;24;21;2;19;14;0.875000;40.063248;0.791667;69.270836;3171.674072;45.786571;0.095238;0.125000;0.011905;0.108108;0.002361;1.100000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_03;set1_reales;24;7;1;6;14;0.933333;27.774746;0.250000;23.333334;694.368652;29.758657;0.142857;0.066667;0.009524;0.090909;0.003055;1.150000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_04;set1_reales;24;3;0;3;15;1.000000;25.350901;0.125000;12.500000;316.886261;25.350900;0.000000;0.000000;0.000000;-nan;-nan;1.200000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_05;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;1.400000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_06;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;2.000000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_07;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;4.000000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_01;set1_reales;24;72;4;68;13;0.764706;55.618141;2.833333;216.666656;15758.472656;72.731415;0.055556;0.235294;0.013072;0.089888;0.001236;1.050000;0;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_02;set1_reales;24;38;3;35;13;0.812500;53.983410;1.458333;118.489586;7872.580566;66.441118;0.078947;0.187500;0.014803;0.111111;0.001672;1.050000;1;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_03;set1_reales;24;32;3;29;13;0.812500;54.194775;1.208333;98.177086;6548.535156;66.701259;0.093750;0.187500;0.017578;0.125000;0.001874;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
