Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);F1/tiempo promedio;direccion_a_cascada;escala_inicial;tamanio_minimo;tamanio_maximo;convertir_a_gris;ecualizar_histograma;scaleFactor;minNeighbors;usar_profundidad_altura;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DF_ei_01;set235_reales;900;734;555;179;426;0.434251;26.136702;0.198889;8.636765;519.829895;60.188037;0.756131;0.565749;0.427780;0.647230;0.010753;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.000000;[50 x 100];[180 x 360];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_02;set235_reales;900;653;534;119;432;0.447205;21.294830;0.132222;5.913043;281.564972;47.617605;0.817764;0.552795;0.452056;0.659666;0.013853;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.200000;[42 x 83];[150 x 300];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_03;set235_reales;900;613;508;105;451;0.470282;20.400906;0.116667;5.486618;238.010559;43.380196;0.828711;0.529718;0.438984;0.646310;0.014899;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_04;set235_reales;900;611;493;118;462;0.483770;17.239944;0.131111;6.342757;226.034821;35.636682;0.806874;0.516230;0.416533;0.629630;0.017668;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.500000;[33 x 67];[120 x 240];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_05;set235_reales;900;487;414;73;521;0.557219;15.643682;0.081111;4.519668;126.887642;28.074552;0.850103;0.442781;0.376409;0.582278;0.020740;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;2.000000;[25 x 50];[90 x 180];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_06;set235_reales;900;282;235;47;686;0.744843;7.159100;0.052222;3.889734;37.386410;9.611561;0.833333;0.255157;0.212631;0.390690;0.040648;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;3.000000;[17 x 33];[60 x 120];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_sf_01;set235_reales;900;972;682;290;371;0.352327;29.294197;0.322222;11.352750;943.924194;83.144984;0.701646;0.647673;0.454437;0.673580;0.008101;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.050000;4;false;false;3;false;false;false;false;
DF_sf_02;set235_reales;900;613;507;106;450;0.470219;20.339663;0.117778;5.538140;239.556015;43.255681;0.827080;0.529781;0.438171;0.645860;0.014931;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_sf_03;set235_reales;900;557;477;80;472;0.497366;16.388569;0.088889;4.421028;145.676163;32.950745;0.856373;0.502634;0.430443;0.633466;0.019225;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.150000;4;false;false;3;false;false;false;false;
DF_sf_04;set235_reales;900;470;411;59;520;0.558539;13.640798;0.065556;3.661535;89.423004;24.422274;0.874468;0.441461;0.386043;0.586724;0.024024;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.200000;4;false;false;3;false;false;false;false;
DF_sf_05;set235_reales;900;275;238;37;680;0.740741;6.038975;0.041111;3.045268;24.826899;8.152617;0.865455;0.259259;0.224377;0.398994;0.048941;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.400000;4;false;false;3;false;false;false;false;
DF_sf_06;set235_reales;900;106;103;3;811;0.887309;3.098911;0.003333;0.295770;1.032970;3.492484;0.971698;0.112691;0.109502;0.201961;0.057827;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;2.000000;4;false;false;3;false;false;false;false;
DF_sf_07;set235_reales;900;1;1;0;913;0.998906;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.001094;0.001094;0.002186;inf;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;4.000000;4;false;false;3;false;false;false;false;
DF_mn_01;set235_reales;900;4150;2318;1832;236;0.092404;3.797542;2.035556;18.809364;773.010742;41.097123;0.558554;0.907596;0.506942;0.691527;0.016827;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;0;false;false;3;false;false;false;false;
DF_mn_02;set235_reales;900;1343;856;487;343;0.286072;11.552730;0.541111;15.479659;625.131042;40.384032;0.637379;0.713928;0.455043;0.673485;0.016677;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;1;false;false;3;false;false;false;false;
DF_mn_03;set235_reales;900;893;644;249;383;0.372931;15.259726;0.276667;10.317754;422.185730;40.918377;0.721165;0.627069;0.452220;0.670833;0.016394;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;2;false;false;3;false;false;false;false;
DF_mn_04;set235_reales;900;698;548;150;428;0.438525;19.139158;0.166667;7.308743;318.985962;43.644432;0.785100;0.561475;0.440814;0.654719;0.015001;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;3;false;false;3;false;false;false;false;
DF_mn_05;set235_reales;900;613;508;105;449;0.469175;21.120180;0.116667;5.473702;246.402100;45.015619;0.828711;0.530825;0.439901;0.647134;0.014376;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
