Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);100*F1/tiempo promedio;F0.5: (1+0.25)*precision*recall/((0.25*precision)+recall);direccion_a_cascada;escala_inicial;tamanio_minimo;tamanio_maximo;convertir_a_gris;ecualizar_histograma;scaleFactor;minNeighbors;usar_profundidad_altura;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DF_ei_01;set235_reales;900;715;556;159;358;0.391685;22.004498;0.176667;6.919766;388.746094;56.179080;0.777622;0.608315;0.473039;0.682627;1.215092;0.736619;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.000000;[50 x 100];[180 x 360];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_02;set235_reales;900;637;540;97;374;0.409190;18.029402;0.107778;4.410163;194.316879;44.061156;0.847724;0.590810;0.500843;0.696325;1.580360;0.779896;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.200000;[42 x 83];[150 x 300];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_03;set235_reales;900;596;515;81;399;0.436543;17.489510;0.090000;3.928884;157.405579;40.063688;0.864094;0.563457;0.486880;0.682119;1.702587;0.780776;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_04;set235_reales;900;592;489;103;425;0.464989;15.226185;0.114444;5.321541;174.255219;32.745253;0.826014;0.535011;0.441926;0.649402;1.983196;0.744973;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.500000;[33 x 67];[120 x 240];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_05;set235_reales;900;482;427;55;487;0.532823;13.485046;0.061111;3.256139;82.408615;25.308693;0.885892;0.467177;0.413869;0.611748;2.417145;0.751231;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;2.000000;[25 x 50];[90 x 180];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_06;set235_reales;900;280;252;28;662;0.724289;7.020379;0.031111;2.253343;21.841177;9.692789;0.900000;0.275711;0.248140;0.422111;4.354893;0.619469;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;3.000000;[17 x 33];[60 x 120];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_sf_01;set235_reales;900;944;619;325;295;0.322757;24.183754;0.361111;11.655118;873.302185;74.928644;0.655720;0.677243;0.444082;0.666308;0.889257;0.659915;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.050000;4;false;false;3;false;false;false;false;
DF_sf_02;set235_reales;900;596;515;81;399;0.436543;17.686934;0.090000;3.928884;159.182404;40.515932;0.864094;0.563457;0.486880;0.682119;1.683583;0.780776;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_sf_03;set235_reales;900;547;487;60;427;0.467177;14.657474;0.066667;3.114515;97.716492;31.374546;0.890311;0.532823;0.474378;0.666667;2.124865;0.784977;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.150000;4;false;false;3;false;false;false;false;
DF_sf_04;set235_reales;900;462;425;37;489;0.535011;13.940590;0.041111;2.199490;57.311317;26.056644;0.919913;0.464989;0.427750;0.617733;2.370729;0.769370;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.200000;4;false;false;3;false;false;false;false;
