Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);100*F1/tiempo promedio;F0.5: (1+0.25)*precision*recall/((0.25*precision)+recall);pasoEscala;umbralAgrupamiento;hit_threshold;setSVMDetector;escala_inicial;convertir_a_gris;ecualizar_histograma;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DH_pe_01;set235_reales;900;755;666;89;250;0.272926;15.712320;0.098889;2.698932;155.377380;57.569941;0.882119;0.727074;0.641366;0.797127;1.384624;0.846037;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_02;set235_reales;900;588;525;63;390;0.426230;15.129703;0.070000;2.983607;105.907913;35.496609;0.892857;0.573770;0.512295;0.698603;1.968083;0.803489;1.100000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_03;set235_reales;900;464;409;55;505;0.552516;14.703210;0.061111;3.376489;89.852951;26.611355;0.881465;0.447484;0.394441;0.593614;2.230679;0.738267;1.150000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_04;set235_reales;900;278;246;32;668;0.730853;16.094673;0.035556;2.598590;57.225506;22.021755;0.884892;0.269147;0.238166;0.412752;1.874291;0.607108;1.200000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_05;set235_reales;900;42;32;10;882;0.964989;16.640255;0.011111;1.072210;18.489172;17.243983;0.761905;0.035011;0.026675;0.066946;0.388226;0.147874;1.400000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_06;set235_reales;900;21;11;10;903;0.987965;16.341492;0.011111;1.097739;18.157215;16.540557;0.523810;0.012035;0.006304;0.023529;0.142253;0.055110;2.000000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_07;set235_reales;900;18;8;10;906;0.991247;15.792534;0.011111;1.101386;17.547260;15.931983;0.444444;0.008753;0.003890;0.017167;0.107754;0.040568;4.000000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_01;set235_reales;900;1358;687;671;241;0.259698;14.969226;0.745556;19.361950;1116.039062;57.640839;0.505891;0.740302;0.374512;0.601050;1.042750;0.540094;1.050000;0;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_02;set235_reales;900;1057;721;336;196;0.213740;12.386909;0.373333;7.979643;462.444611;57.953043;0.682119;0.786260;0.536323;0.730496;1.260497;0.700680;1.050000;1;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_03;set235_reales;900;754;665;89;250;0.273224;15.647333;0.098889;2.701882;154.734741;57.269238;0.881963;0.726776;0.640989;0.796884;1.391470;0.845841;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_04;set235_reales;900;679;605;74;310;0.338798;19.527657;0.082222;2.785671;160.560730;57.638083;0.891016;0.661202;0.589142;0.759097;1.317005;0.833104;1.050000;3;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_05;set235_reales;900;613;557;56;358;0.391257;22.569197;0.062222;2.434487;140.430573;57.683842;0.908646;0.608743;0.553132;0.729058;1.263885;0.827146;1.050000;4;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_06;set235_reales;900;556;504;52;411;0.449180;26.003464;0.057778;2.595264;150.242233;57.890923;0.906475;0.550820;0.499304;0.685248;1.183688;0.802803;1.050000;5;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_07;set235_reales;900;503;455;48;460;0.502732;28.812962;0.053333;2.681238;153.669128;57.312741;0.904573;0.497268;0.449815;0.641749;1.119732;0.777246;1.050000;6;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_08;set235_reales;900;460;413;47;502;0.548634;32.539001;0.052222;2.865088;169.925903;59.309139;0.897826;0.451366;0.405248;0.600727;1.012875;0.749546;1.050000;7;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_09;set235_reales;900;411;367;44;548;0.598907;34.811531;0.048889;2.927990;170.189713;58.125094;0.892944;0.401093;0.358153;0.553545;0.952333;0.717077;1.050000;8;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_01;set235_reales;900;755;665;90;251;0.274017;15.811061;0.100000;2.740175;158.110611;57.700927;0.880795;0.725983;0.639442;0.795931;1.379407;0.844766;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_02;set235_reales;900;755;665;90;251;0.274017;16.255013;0.100000;2.740175;162.550125;59.321084;0.880795;0.725983;0.639442;0.795931;1.341733;0.844766;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_03;set235_reales;900;755;666;89;250;0.272926;15.790227;0.098889;2.698932;156.147797;57.855392;0.882119;0.727074;0.641366;0.797127;1.377793;0.846037;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_04;set235_reales;900;755;665;90;250;0.273224;15.791778;0.100000;2.732240;157.917770;57.797904;0.880795;0.726776;0.640140;0.796407;1.377917;0.844981;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_05;set235_reales;900;755;665;90;250;0.273224;15.532922;0.100000;2.732240;155.329208;56.850491;0.880795;0.726776;0.640140;0.796407;1.400880;0.844981;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_06;set235_reales;900;754;664;90;251;0.274317;15.681020;0.100000;2.743170;156.810211;57.163879;0.880637;0.725683;0.639063;0.795686;1.391938;0.844569;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_07;set235_reales;900;353;321;32;593;0.648796;38.083126;0.035556;2.306832;135.406662;58.698109;0.909348;0.351204;0.319366;0.506709;0.863246;0.690026;1.050000;2;1.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_08;set235_reales;900;80;80;0;834;0.912473;53.899197;0.000000;0.000000;0.000000;59.069383;1.000000;0.087527;0.087527;0.160966;0.272503;0.324149;1.050000;2;2.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_09;set235_reales;900;1;1;0;913;0.998906;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.001094;0.001094;0.002186;inf;0.005447;1.050000;2;4.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_sd_01;set235_reales;900;756;666;90;250;0.272926;16.284172;0.100000;2.729258;162.841721;59.665205;0.880952;0.727074;0.640518;0.796651;1.335202;0.845178;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_sd_02;set235_reales;900;4329;820;3509;123;0.130435;7.109119;3.898889;50.855072;2771.766602;54.503247;0.189420;0.869565;0.164713;0.311077;0.570750;0.224547;1.050000;2;0.000000;getDaimlerPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_bl_01;set235_reales;900;754;664;90;252;0.275109;16.758314;0.100000;2.751092;167.583130;60.915139;0.880637;0.724891;0.638365;0.795210;1.305438;0.844354;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_bl_02;set235_reales;900;760;666;94;252;0.274510;16.739580;0.104444;2.867102;174.835602;60.979893;0.876316;0.725490;0.635759;0.793802;1.301744;0.841334;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;3;false;false;false;false;
