Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);100*F1/tiempo promedio;F0.5: (1+0.25)*precision*recall/((0.25*precision)+recall);pasoEscala;umbralAgrupamiento;hit_threshold;setSVMDetector;escala_inicial;convertir_a_gris;ecualizar_histograma;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DH_pe_01;set1_reales;24;32;6;26;9;0.600000;36.011318;1.083333;65.000008;3901.226562;60.018862;0.187500;0.400000;0.075000;0.255319;0.425398;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_02;set1_reales;24;21;5;16;10;0.666667;22.819990;0.666667;44.444450;1521.332886;34.229986;0.238095;0.333333;0.079365;0.277778;0.811504;0.252525;1.100000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_03;set1_reales;24;7;3;4;12;0.800000;19.459749;0.166667;13.333334;324.329163;24.324686;0.428571;0.200000;0.085714;0.272727;1.121195;0.348837;1.150000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_04;set1_reales;24;3;2;1;13;0.866667;22.719030;0.041667;3.611111;94.662628;26.214266;0.666667;0.133333;0.088889;0.222222;0.847715;0.370370;1.200000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_05;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;1.400000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_06;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;2.000000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_07;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;4.000000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_01;set1_reales;24;65;11;54;4;0.266667;15.537802;2.250000;60.000004;3496.005371;58.266752;0.169231;0.733333;0.124103;0.275000;0.471967;0.200000;1.050000;0;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_02;set1_reales;24;37;9;28;6;0.400000;23.027784;1.166667;46.666664;2686.574707;57.569462;0.243243;0.600000;0.145946;0.346154;0.601280;0.276074;1.050000;1;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_03;set1_reales;24;32;6;26;9;0.600000;35.106720;1.083333;65.000008;3803.228516;58.511200;0.187500;0.400000;0.075000;0.255319;0.436359;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_04;set1_reales;24;25;6;19;9;0.600000;36.055286;0.791667;47.500004;2854.376953;60.092140;0.240000;0.400000;0.096000;0.300000;0.499233;0.260870;1.050000;3;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_05;set1_reales;24;14;5;9;10;0.666667;39.291111;0.375000;25.000002;1473.416748;58.936665;0.357143;0.333333;0.119048;0.344828;0.585082;0.352113;1.050000;4;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_06;set1_reales;24;7;4;3;11;0.733333;42.353878;0.125000;9.166667;529.423462;57.755286;0.571429;0.266667;0.152381;0.363636;0.629616;0.465116;1.050000;5;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_07;set1_reales;24;5;3;2;12;0.800000;44.766319;0.083333;6.666667;373.052673;55.957900;0.600000;0.200000;0.120000;0.300000;0.536117;0.428571;1.050000;6;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_08;set1_reales;24;5;3;2;12;0.800000;47.067135;0.083333;6.666667;392.226135;58.833920;0.600000;0.200000;0.120000;0.300000;0.509910;0.428571;1.050000;7;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_09;set1_reales;24;4;3;1;12;0.800000;45.213779;0.041667;3.333333;188.390762;56.517225;0.750000;0.200000;0.150000;0.315789;0.558749;0.483871;1.050000;8;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_01;set1_reales;24;32;6;26;9;0.600000;34.355194;1.083333;65.000008;3721.812988;57.258653;0.187500;0.400000;0.075000;0.255319;0.445905;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_02;set1_reales;24;32;6;26;9;0.600000;34.406872;1.083333;65.000008;3727.411133;57.344781;0.187500;0.400000;0.075000;0.255319;0.445235;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_03;set1_reales;24;32;6;26;9;0.600000;34.385231;1.083333;65.000008;3725.066895;57.308715;0.187500;0.400000;0.075000;0.255319;0.445515;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_04;set1_reales;24;32;6;26;9;0.600000;34.117855;1.083333;65.000008;3696.101318;56.863091;0.187500;0.400000;0.075000;0.255319;0.449007;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
