Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);100*F1/tiempo promedio;F0.5: (1+0.25)*precision*recall/((0.25*precision)+recall);direccion_a_cascada;escala_inicial;tamanio_minimo;tamanio_maximo;convertir_a_gris;ecualizar_histograma;scaleFactor;minNeighbors;usar_profundidad_altura;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DF_ei_01;set235nuevo_reales;900;748;628;120;500;0.443262;25.267073;0.133333;5.910166;336.894318;57.002518;0.839572;0.556738;0.467421;0.669510;1.174526;0.762136;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.000000;[50 x 100];[180 x 360];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_02;set235nuevo_reales;900;676;605;71;526;0.465075;20.838688;0.078889;3.668926;164.394089;44.807142;0.894970;0.534925;0.478742;0.669618;1.494445;0.788787;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.200000;[42 x 83];[150 x 300];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_03;set235nuevo_reales;900;633;577;56;554;0.489832;19.791239;0.062222;3.047844;123.145493;40.404135;0.911532;0.510168;0.465035;0.654195;1.619129;0.787606;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_04;set235nuevo_reales;900;629;548;81;578;0.513322;17.423742;0.090000;4.619894;156.813690;33.943135;0.871224;0.486679;0.424006;0.624501;1.839846;0.752334;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.500000;[33 x 67];[120 x 240];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_05;set235nuevo_reales;900;514;471;43;654;0.581333;15.378913;0.047778;2.777482;73.477028;26.454552;0.916342;0.418667;0.383642;0.574741;2.172559;0.740333;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;2.000000;[25 x 50];[90 x 180];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_06;set235nuevo_reales;900;284;246;38;879;0.781333;8.063810;0.042222;3.298963;34.047195;10.320576;0.866197;0.218667;0.189408;0.349184;3.383375;0.544007;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;3.000000;[17 x 33];[60 x 120];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_sf_01;set235nuevo_reales;900;1019;714;305;416;0.368142;28.101088;0.338889;12.475909;952.314636;76.332282;0.700687;0.631858;0.442735;0.664495;0.870530;0.685747;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.050000;4;false;false;3;false;false;false;false;
DF_sf_02;set235nuevo_reales;900;633;577;56;554;0.489832;20.347141;0.062222;3.047844;126.604439;41.539020;0.911532;0.510168;0.465035;0.654195;1.574893;0.787606;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_sf_03;set235nuevo_reales;900;574;533;41;596;0.527901;17.233530;0.045556;2.404881;78.508301;32.645394;0.928571;0.472099;0.438378;0.625954;1.917435;0.778102;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.150000;4;false;false;3;false;false;false;false;
DF_sf_04;set235nuevo_reales;900;492;464;28;665;0.589017;13.958032;0.031111;1.832497;43.424988;23.697168;0.943089;0.410983;0.387594;0.572486;2.415842;0.749112;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.200000;4;false;false;3;false;false;false;false;
