Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);100*F1/tiempo promedio;F0.5: (1+0.25)*precision*recall/((0.25*precision)+recall);pasoEscala;umbralAgrupamiento;hit_threshold;setSVMDetector;escala_inicial;convertir_a_gris;ecualizar_histograma;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DH_pe_01;set235nuevo_reales;900;775;745;30;383;0.339539;19.688883;0.033333;1.131797;65.629616;57.987100;0.961290;0.660461;0.634895;0.782974;1.350256;0.881031;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_02;set235nuevo_reales;900;597;582;15;544;0.483126;16.899820;0.016667;0.805210;28.166370;34.980145;0.974874;0.516874;0.503887;0.675566;1.931284;0.828116;1.100000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_03;set235nuevo_reales;900;466;455;11;670;0.595556;14.843733;0.012222;0.727901;18.142340;24.924179;0.976395;0.404444;0.394897;0.571967;2.294829;0.761124;1.150000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_04;set235nuevo_reales;900;278;269;9;856;0.760889;15.742291;0.010000;0.760889;15.742291;20.689344;0.967626;0.239111;0.231370;0.383464;1.853437;0.601252;1.200000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_05;set235nuevo_reales;900;42;41;1;1084;0.963556;16.836769;0.001111;0.107062;1.870752;17.473583;0.976190;0.036444;0.035577;0.070266;0.402125;0.158546;1.400000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_06;set235nuevo_reales;900;21;20;1;1105;0.982222;15.810092;0.001111;0.109136;1.756677;16.096248;0.952381;0.017778;0.016931;0.034904;0.216846;0.082713;2.000000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_07;set235nuevo_reales;900;18;17;1;1108;0.984889;15.298882;0.001111;0.109432;1.699876;15.533611;0.944444;0.015111;0.014272;0.029746;0.191496;0.071011;4.000000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_01;set235nuevo_reales;900;2750;1864;886;267;0.125293;7.265250;0.984444;12.334428;715.223511;57.985947;0.677818;0.874707;0.592892;0.763778;1.317178;0.709771;1.050000;0;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_02;set235nuevo_reales;900;1085;804;281;325;0.287865;16.462936;0.312222;8.987797;514.009460;57.189708;0.741014;0.712135;0.527702;0.726287;1.269961;0.735052;1.050000;1;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_03;set235nuevo_reales;900;775;745;30;383;0.339539;19.163595;0.033333;1.131797;63.878658;56.440040;0.961290;0.660461;0.634895;0.782974;1.387267;0.881031;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_04;set235nuevo_reales;900;692;669;23;458;0.406389;22.939522;0.025556;1.038549;58.623219;56.447250;0.966763;0.593611;0.573882;0.735569;1.303109;0.858793;1.050000;3;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_05;set235nuevo_reales;900;623;612;11;515;0.456965;25.914120;0.012222;0.558513;31.672812;56.709153;0.982343;0.543035;0.533446;0.699429;1.233361;0.845537;1.050000;4;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_06;set235nuevo_reales;900;563;555;8;572;0.507542;28.569094;0.008889;0.451149;25.394751;56.289106;0.985790;0.492458;0.485460;0.656805;1.166842;0.821249;1.050000;5;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
