Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);100*F1/tiempo promedio;F0.5: (1+0.25)*precision*recall/((0.25*precision)+recall);direccion_a_cascada;escala_inicial;tamanio_minimo;tamanio_maximo;convertir_a_gris;ecualizar_histograma;scaleFactor;minNeighbors;usar_profundidad_altura;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DF_ei_01;set1_reales;24;14;14;0;1;0.066667;2.893176;0.000000;0.000000;0.000000;43.397636;1.000000;0.933333;0.933333;0.965517;2.224815;0.985915;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.000000;[50 x 100];[180 x 360];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_02;set1_reales;24;13;13;0;2;0.133333;4.768921;0.000000;0.000000;0.000000;35.766908;1.000000;0.866667;0.866667;0.928571;2.596175;0.970149;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.200000;[42 x 83];[150 x 300];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_03;set1_reales;24;13;13;0;2;0.133333;5.010644;0.000000;0.000000;0.000000;37.579831;1.000000;0.866667;0.866667;0.928571;2.470930;0.970149;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_04;set1_reales;24;12;12;0;3;0.200000;5.318372;0.000000;0.000000;0.000000;26.591858;1.000000;0.800000;0.800000;0.888889;3.342711;0.952381;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.500000;[33 x 67];[120 x 240];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_05;set1_reales;24;8;8;0;7;0.466667;9.729773;0.000000;0.000000;0.000000;20.849513;1.000000;0.533333;0.533333;0.695652;3.336540;0.851064;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;2.000000;[25 x 50];[90 x 180];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_06;set1_reales;24;3;3;0;12;0.800000;5.110200;0.000000;0.000000;0.000000;6.387750;1.000000;0.200000;0.200000;0.333333;5.218321;0.555556;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;3.000000;[17 x 33];[60 x 120];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_sf_01;set1_reales;24;17;15;2;0;0.000000;0.000000;0.083333;0.000000;0.000000;59.591982;0.882353;1.000000;0.882353;0.937500;1.573198;0.903614;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.050000;4;false;false;3;false;false;false;false;
DF_sf_02;set1_reales;24;13;13;0;2;0.133333;4.138236;0.000000;0.000000;0.000000;31.036769;1.000000;0.866667;0.866667;0.928571;2.991843;0.970149;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_sf_03;set1_reales;24;12;12;0;3;0.200000;4.895077;0.000000;0.000000;0.000000;24.475383;1.000000;0.800000;0.800000;0.888889;3.631767;0.952381;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.150000;4;false;false;3;false;false;false;false;
DF_sf_04;set1_reales;24;11;10;1;5;0.333333;5.939745;0.041667;1.388889;24.748943;17.819236;0.909091;0.666667;0.606061;0.769231;4.316856;0.847458;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.200000;4;false;false;3;false;false;false;false;
